season,team,conference,stat_name,stat_value
2024,Missouri,SEC,puntReturnTDs,1
2024,LSU,SEC,penaltyYards,398
2024,Texas A&M,SEC,interceptionTDs,1
2024,Auburn,SEC,fourthDowns,13
2024,Vanderbilt,SEC,thirdDownConversions,50
2024,Vanderbilt,SEC,puntReturns,12
2024,Kentucky,SEC,possessionTime,12962
2024,South Carolina,SEC,puntReturnTDs,0
2024,LSU,SEC,fourthDownConversions,4
2024,Texas,SEC,passCompletions,164
2024,Georgia,SEC,penaltyYards,507
2024,South Carolina,SEC,firstDowns,133
2024,Texas,SEC,thirdDowns,88
2024,Alabama,SEC,kickReturnYards,201
2024,Kentucky,SEC,passCompletions,96
2024,Vanderbilt,SEC,penalties,42
2024,Auburn,SEC,penalties,42
2024,LSU,SEC,puntReturns,10
2024,Vanderbilt,SEC,firstDowns,142
2024,Florida,SEC,rushingTDs,16
2024,Georgia,SEC,passesIntercepted,4
2024,Arkansas,SEC,rushingTDs,20
2024,Texas A&M,SEC,passAttempts,170
2024,Texas A&M,SEC,kickReturnTDs,0
2024,Kentucky,SEC,sacks,14
2024,Kentucky,SEC,interceptionTDs,1
2024,Georgia,SEC,fumblesRecovered,5
2024,Ole Miss,SEC,kickReturnTDs,0
2024,Oklahoma,SEC,firstDowns,120
2024,Oklahoma,SEC,passingTDs,9
2024,Alabama,SEC,sacks,17
2024,Arkansas,SEC,fourthDownConversions,6
2024,Texas,SEC,possessionTime,12425
2024,Texas,SEC,penalties,45
2024,South Carolina,SEC,penaltyYards,467
2024,Texas,SEC,puntReturns,16
2024,Vanderbilt,SEC,sacks,14
2024,Vanderbilt,SEC,passAttempts,156
2024,Kentucky,SEC,turnovers,9
2024,Mississippi State,SEC,games,12
2024,Missouri,SEC,kickReturnYards,259
2024,Texas,SEC,fourthDownConversions,5
2024,Mississippi State,SEC,netPassingYards,1766
2024,Missouri,SEC,games,12
2024,Georgia,SEC,puntReturnTDs,0
2024,Arkansas,SEC,kickReturns,4
2024,Georgia,SEC,possessionTime,12423
2024,Alabama,SEC,kickReturnTDs,0
2024,Alabama,SEC,thirdDownConversions,35
2024,Mississippi State,SEC,puntReturns,8
2024,Missouri,SEC,sacks,15
2024,Florida,SEC,puntReturnYards,157
2024,Arkansas,SEC,thirdDowns,99
2024,Ole Miss,SEC,rushingYards,1405
2024,Florida,SEC,fourthDownConversions,4
2024,Tennessee,SEC,rushingTDs,22
