id,season,week,season_type,start_date,start_time_tbd,completed,neutral_site,conference_game,attendance,venue_id,venue,home_id,home_team,home_conference,home_division,home_points,home_line_scores,home_post_win_prob,home_pregame_elo,home_postgame_elo,away_id,away_team,away_conference,away_division,away_points,away_line_scores,away_post_win_prob,away_pregame_elo,away_postgame_elo,excitement_index,highlights,notes
401628348,2024,2,regular,2024-09-07T16:45:00.000Z,False,True,False,False,,3795,Kyle Field,245,Texas A&M,SEC,fbs,52.0,"[14, 24, 7, 7]",0.9989583103364718,1666,1666.0,2377,McNeese,Southland,fcs,10.0,"[0, 0, 0, 10]",0.0010416896635282447,,,2.0495368455,,
401628339,2024,2,regular,2024-09-07T18:00:00.000Z,False,True,False,False,,3917,Sanford Stadium,61,Georgia,SEC,fbs,48.0,"[14, 10, 21, 3]",0.998904318902456,2079,2079.0,2635,Tennessee Tech,Big South-OVC,fcs,3.0,"[0, 0, 0, 3]",0.001095681097543988,,,2.6404091014,,
401628340,2024,2,regular,2024-09-07T19:30:00.000Z,False,True,False,True,,3683,Kroger Field,96,Kentucky,SEC,fbs,6.0,"[0, 6, 0, 0]",0.006082209207821032,1640,1563.0,2579,South Carolina,SEC,fbs,31.0,"[7, 3, 14, 7]",0.993917790792179,1560.0,1637.0,3.9452995446,,
401628337,2024,2,regular,2024-09-07T19:30:00.000Z,False,True,False,False,,3785,Jordan-Hare Stadium,2,Auburn,SEC,fbs,14.0,"[7, 0, 0, 7]",0.2525169316190977,1556,1537.0,25,California,ACC,fbs,21.0,"[7, 7, 0, 7]",0.7474830683809023,1483.0,1502.0,6.8038045019,,
401628342,2024,2,regular,2024-09-07T20:15:00.000Z,False,True,False,False,,3974,Vaught-Hemingway Stadium,145,Ole Miss,SEC,fbs,52.0,"[17, 14, 14, 7]",0.998968017794867,1658,1770.0,2393,Middle Tennessee,Conference USA,fbs,3.0,"[0, 3, 0, 0]",0.0010319822051330085,1400.0,1288.0,2.6354142701,,
401628344,2024,2,regular,2024-09-07T23:00:00.000Z,False,True,False,False,,3838,Memorial Stadium,142,Missouri,SEC,fbs,38.0,"[3, 21, 7, 7]",0.9988863863777315,1744,1803.0,2084,Buffalo,Mid-American,fbs,0.0,"[0, 0, 0, 0]",0.0011136136222684723,1357.0,1298.0,3.2483160685,,
401628338,2024,2,regular,2024-09-07T23:00:00.000Z,False,True,False,False,,3634,Ben Hill Griffin Stadium,57,Florida,SEC,fbs,45.0,"[7, 7, 14, 17]",0.9986559089730632,1493,1493.0,2535,Samford,Southern,fcs,7.0,"[0, 0, 7, 0]",0.0013440910269367778,,,3.9831706488,,
401628335,2024,2,regular,2024-09-07T23:00:00.000Z,False,True,False,False,,3657,Bryant-Denny Stadium,333,Alabama,SEC,fbs,42.0,"[7, 7, 0, 28]",0.9964872219835206,1997,2006.0,58,South Florida,American Athletic,fbs,16.0,"[3, 3, 7, 3]",0.003512778016479423,1442.0,1433.0,8.3492231748,,
401628341,2024,2,regular,2024-09-07T23:30:00.000Z,False,True,False,False,,3958,Tiger Stadium (LA),99,LSU,SEC,fbs,44.0,"[9, 14, 21, 0]",0.2641403564947987,1805,1805.0,2447,Nicholls,Southland,fcs,21.0,"[7, 7, 7, 0]",0.7358596435052013,,,4.5734053957,,
401628346,2024,2,regular,2024-09-07T23:30:00.000Z,False,True,True,False,,3628,Bank of America Stadium,152,NC State,ACC,fbs,10.0,"[0, 3, 7, 0]",0.0013081611453792652,1606,1512.0,2633,Tennessee,SEC,fbs,51.0,"[7, 13, 17, 14]",0.9986918388546208,1751.0,1845.0,2.6876723747,,Duke’s Mayo Classic
401628349,2024,2,regular,2024-09-07T23:30:00.000Z,False,True,False,False,,3973,FirstBank Stadium,238,Vanderbilt,SEC,fbs,55.0,"[10, 17, 7, 21]",0.9989565641578229,1303,1303.0,2016,Alcorn State,SWAC,fcs,0.0,"[0, 0, 0, 0]",0.0010434358421771428,,,2.6201509074,,
401628345,2024,2,regular,2024-09-07T23:45:00.000Z,False,True,False,False,,3835,"Memorial Stadium (Norman, OK)",201,Oklahoma,SEC,fbs,16.0,"[7, 7, 0, 2]",0.03463077000202154,1849,1840.0,248,Houston,Big 12,fbs,12.0,"[3, 3, 6, 0]",0.9653692299979785,1402.0,1411.0,7.4633177224,,
401628343,2024,2,regular,2024-09-08T02:30:00.000Z,False,True,False,False,,3947,Mountain America Stadium,9,Arizona State,Big 12,fbs,30.0,"[10, 17, 3, 0]",0.7141237504569228,1497,1504.0,344,Mississippi State,SEC,fbs,23.0,"[0, 3, 7, 13]",0.2858762495430772,1447.0,1440.0,3.8316762822,,
401628359,2024,3,regular,2024-09-14T16:00:00.000Z,False,True,False,True,,3994,Williams-Brice Stadium,2579,South Carolina,SEC,fbs,33.0,"[7, 17, 0, 9]",0.8567462764688526,1637,1642.0,99,LSU,SEC,fbs,36.0,"[0, 16, 6, 14]",0.1432537235311474,1803.0,1798.0,9.8185936219,,
401628350,2024,3,regular,2024-09-14T16:00:00.000Z,False,True,False,False,,347,Camp Randall Stadium,275,Wisconsin,Big Ten,fbs,10.0,"[3, 0, 7, 0]",0.0081587932041351,1593,1553.0,333,Alabama,SEC,fbs,42.0,"[7, 14, 14, 7]",0.9918412067958648,2006.0,2046.0,2.8137131564,,
